,komentar
0,"Sy vaksin 7 mei jam 10 pagi... 
Setelah vaksin tidur 6jam lebih
Alhamdulillah tidak ada kendala apa apa... 

Malemnya jm 22.00 langsung olahraga biar aliran darah lancar.. alhamdulillah badan enakan gak pegal"" pusing panas dingin ..
Semoga kedepannya tidak ada efek samping apapun... "
1,Aamiin
2,Yg d hawatirkan itu epek jangka panjangnya
3,"Setelah vaksin siang jam 12 malam tidur terbangun badan menggigil, agak pusing badan nggreges seperti org kena flu.meriang,akhirnya minum parasetamol lumayan bisa tidur. Seperti kena sakit flu sampai makan jeruk tomat,istirahat smpai 3 hari baru lumayan sebab saya buat jalan2 pagi kena sinar."
4,"Saya 53 th, tinggal di Jerman telah di vaksin Astrazeneca pada 27 February kemarin. Itu yang disebutkan di berita memang benar adanya, pada kasus saya, hanya di hari pertama sesudah vaksin, saya kurang enak badan, dan lengan bekas suntikan vaksin agak sedikit sakit, tapi itu cuma berlangsung 3-4 hari saja di kasus saya  dan sekarang saya tidak merasakan apa2."
5,"Sy sekeluarga tetep nunggu vaksin nusantara ajahh...
Karna bbrp dr kami ada komorbid...
Smoga vaksin nusantara sgr rilis dan tdk ada yg berusaha menghalangi dgn berbagai cara demi kepentingan pribadinya...aamiin..."
6,Alhamdulillah yang sudah di vaksin semoga sehat semua dan panjang umur. Aamiin
7,Saya tadi siang vaksin Pertama astra di Pasar Pagi Mangga dua. Kira2 jam 13lewat. Pada jam 20malamnya badan terasa pegal2&badan hangat sampai skrg jam 21.40ini. Telet bawaannya mau rebahan. Thanks Lord...
8,"Saya vaksin astrazeneca tgl 11 Mei pagi, malamnya meriang. Suhu 38.7, ga terlalu tinggi. 
Besok paginya sudah tidak panas, tapi badan masih merasa kurang enak, masih suka menggigil. 2 hari minum paracetamol yg diberikan petugas setelah vaksin. Alhamdulillah tanggal 13nya sudah sehat dan bisa ikut lebaran "
9,"Saya pun sudah disuntik dgn vaksin AZ nie. Tengahari kena suntik, malam saya demam. Mkn ubat panadol. Besok pagi sudah kurang. Hari ke 3 sihat spt biasa. Ini di Malaysia. Malaysia pun guna vaksin AZ utk rakyat nya."
10,"Klo rata2 keluhan temen2 saya.
Pake sinovac jarang yg demam, klo yg Astra bnyak yg demam.
Sya sendiri tadi siang pake Astra, jam 8malem baru berasa demam, kpla agak sakit, trus pengen rebahan mulu."
11,"Alhamdulillah...
Vaksin pertama AZ (Demam banget)
Vaksin kedua AZ (Biasa aja)
Vaksin ketiga AZ ( Sedikit Demam)"
12,"Saya baru vaksin AZ sabtu 12/6/21 pagi dan minggu malam sdh mulai pulih, setelah vaksin malamnya langsung demam ngilu tidak bisa tidur dan nyeri di daerah lengan suntikan.."
13,Alhamdulillah...tgl26 kemaren divaksin Astra jenica ...tdk ada gelala yg timbul...malah badanku terasa ringan dlm beraktivitas 
14,Trima kasih infonya . Salam Indonesia Sehat.
15,Tak ada rotan akar pun jadi. Akan lebih baik buatan anak bangsa sendiri .Lebih hemat & dapat di percaya 
